assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,98770,0,0,0,0,0,0,1,0,0,0,Ørjan,0,0,0,0,35,FALSE,0,0,Contract terminated on 5/10,2020-10-05T21:00:11.316167Z,40,0,0,0,98770.jpg,0,0,0,Nyland,7.8,FALSE,,u,2,7,0,0,144075,6,631647,1484,0,0,Nyland,0
0,0,0,0,0,0,108156,0,0,-1,1,0,0,2,0,0,0,Bjorn,0,0,0,0,36,FALSE,0,0,Thigh injury - Unknown return date,2020-11-19T11:00:18.103635Z,44,0,0,0,108156.jpg,0,0,0,Engels,0.1,FALSE,,i,2,7,0,0,10451,0,17117,16,0,0,Engels,0
6,5,220,,,4,114283,1,-1,7,-7,283.3,2,3,5.5,5.5,0,Jack,5.5,11,4,104.5,37,TRUE,305.2,720,,,77,0,0,0,114283.jpg,7.6,0,0,Grealish,41.8,FALSE,,a,2,7,458,61,2957902,12566,722369,4597,0.7,7.9,Grealish,2
4,2,143,,,4,122806,0,0,0,0,210.2,0,3,1.8,1.8,0,John,1.8,11,1,46.3,38,FALSE,168.2,720,,,55,0,0,0,122806.jpg,4.5,0,0,McGinn,2.2,FALSE,,a,2,7,85,36,260210,607,149340,910,0.3,6.5,McGinn,3
0,0,0,100,100,0,123354,0,0,-1,1,0,0,2,0,0,0,Kortney,0,0,0,0,39,FALSE,0,0,,2020-10-01T22:30:14.186065Z,44,0,0,0,123354.jpg,0,0,0,Hause,0,FALSE,,a,2,7,0,0,804,10,4367,5,0,0,Hause,0
1,0,71,,,4,148508,0,0,-2,2,110,0,3,1.8,1.8,0,Mahmoud Ahmed,1.8,8,0,49.4,40,FALSE,108.4,642,,,53,0,0,0,148508.jpg,2.9,0,0,Ibrahim Hassan,0.9,FALSE,,a,2,7,277,23,50889,243,87635,199,0.3,4.3,Trézéguet,0
1,3,175,,,4,149484,0,0,3,-3,27.1,2,2,3.2,3.2,0,Tyrone,3.2,11,2,37,41,FALSE,221.6,720,,,53,0,0,0,149484.jpg,5.4,0,0,Mings,13.3,FALSE,,a,2,7,119,43,1031331,3230,265402,1611,0.6,8.1,Mings,2
1,2,139,,,4,169359,0,0,0,0,95.1,1,2,2.8,2.8,0,Matt,2.8,11,0,23.3,42,FALSE,92.2,720,,,45,0,0,0,169359.jpg,3.6,0,0,Targett,2.8,FALSE,,a,2,7,44,29,223246,875,90243,355,0.6,6.4,Targett,3
0,0,0,0,0,0,184386,0,0,0,0,0,0,2,0,0,0,James,0,0,0,0,43,FALSE,0,0,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,0,0,0,184386.jpg,0,0,0,Bree,0,FALSE,,u,2,7,0,0,9797,0,10230,0,0,0,Bree,0
0,0,4,,,0,184704,0,0,-1,1,0.6,0,3,0,0,0,Marvelous,0,0,0,1.7,44,FALSE,8.4,13,,,44,0,0,0,184704.jpg,0.5,0,0,Nakamba,0.3,FALSE,,a,2,7,7,1,12153,34,29535,58,0,0.2,Nakamba,1
0,0,7,,,0,193488,0,0,-3,3,16.3,0,3,0.5,0.5,0,Anwar,0.5,0,0,2.4,45,FALSE,6.8,18,,,57,0,0,0,193488.jpg,1,0,0,El Ghazi,0.1,FALSE,,a,2,7,0,2,3230,12,9814,23,0.1,0.4,El Ghazi,0
0,4,168,,,4,199798,0,0,2,-2,2.6,1,2,3.5,3.5,0,Ezri,3.5,11,2,28.1,46,FALSE,182.4,720,,,47,0,0,0,199798.jpg,5.4,0,0,Konsa Ngoyo,9,FALSE,,a,2,7,96,43,823476,5555,257841,497,0.7,9.1,Konsa,0
0,0,0,0,0,0,203368,0,0,-1,1,0,0,2,0,0,0,Frédéric,0,0,0,0,47,FALSE,0,0,Hip injury - Unknown return date,2020-11-19T11:00:18.118134Z,44,0,0,0,203368.jpg,0,0,0,Guilbert,0.1,FALSE,,i,2,7,0,0,1255,0,7293,37,0,0,Guilbert,0
0,0,0,0,0,0,213345,0,0,0,0,0,0,4,0,0,0,Wesley,0,0,0,0,48,FALSE,0,0,Knee injury - Unknown return date,2020-08-15T10:00:11.458856Z,60,0,0,0,213345.jpg,0,0,0,Moraes,0,FALSE,,i,2,7,0,0,626,1,1030,4,0,0,Wesley,0
0,0,0,0,0,0,217487,0,0,-1,1,0,0,4,0,0,0,Mbwana,0,0,0,0,49,FALSE,0,0,Joined Fenerbahce on a permanent deal on 25/9,2020-09-25T09:00:10.072147Z,59,0,0,0,217487.jpg,0,0,0,Samatta,0,FALSE,,u,2,7,0,0,1551,0,8104,4,0,0,Samatta,0
0,0,3,75,75,0,221239,0,0,-2,2,12.9,0,4,0,0,0,Keinan,0,0,0,2.3,50,FALSE,4.4,28,Ankle injury - 75% chance of playing,2020-11-24T23:00:18.514322Z,43,0,0,0,221239.jpg,1,0,0,Davis,7.6,FALSE,,d,2,7,6,1,483036,709,1000734,2778,0,0.2,Davis,0
0,0,0,0,0,0,223349,0,0,-1,1,0,0,4,0,0,0,Indiana,0,0,0,0,51,FALSE,0,0,Joined Burton Albion on loan until the end of the season on 17/9. - Expected back 01 Jul,2020-09-17T16:30:17.739025Z,44,0,0,0,223349.jpg,0,0,0,Vassilev,0.7,FALSE,,n,2,7,0,0,43901,20,132772,137,0,0,Vassilev,0
1,0,91,,,4,230046,0,0,-1,1,103.1,0,3,2.5,2.5,0,Douglas Luiz,2.5,11,0,27.2,52,FALSE,109.2,689,,,49,0,0,0,230046.jpg,2.6,0,0,Soares de Paulo,0.3,FALSE,,a,2,7,58,21,17740,115,24603,101,0.5,4.3,Douglas Luiz,2
